District (Kecamatan),Regency (Kabupaten/Kota),Province
MAOSPATI,MAGETAN,JAWA TIMUR
KARANGREJO,MAGETAN,JAWA TIMUR
KARAS,MAGETAN,JAWA TIMUR
BARAT,MAGETAN,JAWA TIMUR
KARTOHARJO,MAGETAN,JAWA TIMUR
SINE,NGAWI,JAWA TIMUR
NGRAMBE,NGAWI,JAWA TIMUR
JOGOROGO,NGAWI,JAWA TIMUR
KENDAL,NGAWI,JAWA TIMUR
GENENG,NGAWI,JAWA TIMUR
GERIH,NGAWI,JAWA TIMUR
KWADUNGAN,NGAWI,JAWA TIMUR
PANGKUR,NGAWI,JAWA TIMUR
KARANGJATI,NGAWI,JAWA TIMUR
BRINGIN,NGAWI,JAWA TIMUR
PADAS,NGAWI,JAWA TIMUR
KASREMAN,NGAWI,JAWA TIMUR
NGAWI,NGAWI,JAWA TIMUR
PARON,NGAWI,JAWA TIMUR
KEDUNGGALAR,NGAWI,JAWA TIMUR
PITU,NGAWI,JAWA TIMUR
WIDODAREN,NGAWI,JAWA TIMUR
MANTINGAN,NGAWI,JAWA TIMUR
KARANGANYAR,NGAWI,JAWA TIMUR
MARGOMULYO,BOJONEGORO,JAWA TIMUR
NGRAHO,BOJONEGORO,JAWA TIMUR
TAMBAKREJO,BOJONEGORO,JAWA TIMUR
NGAMBON,BOJONEGORO,JAWA TIMUR
SEKAR,BOJONEGORO,JAWA TIMUR
BUBULAN,BOJONEGORO,JAWA TIMUR
GONDANG,BOJONEGORO,JAWA TIMUR
TEMAYANG,BOJONEGORO,JAWA TIMUR
SUGIHWARAS,BOJONEGORO,JAWA TIMUR
KEDUNGADEM,BOJONEGORO,JAWA TIMUR
KEPOH BARU,BOJONEGORO,JAWA TIMUR
BAURENO,BOJONEGORO,JAWA TIMUR
KANOR,BOJONEGORO,JAWA TIMUR
SUMBEREJO,BOJONEGORO,JAWA TIMUR
BALEN,BOJONEGORO,JAWA TIMUR
SUKOSEWU,BOJONEGORO,JAWA TIMUR
KAPAS,BOJONEGORO,JAWA TIMUR
BOJONEGORO,BOJONEGORO,JAWA TIMUR
TRUCUK,BOJONEGORO,JAWA TIMUR
DANDER,BOJONEGORO,JAWA TIMUR
NGASEM,BOJONEGORO,JAWA TIMUR
GAYAM,BOJONEGORO,JAWA TIMUR
KALITIDU,BOJONEGORO,JAWA TIMUR
MALO,BOJONEGORO,JAWA TIMUR
PURWOSARI,BOJONEGORO,JAWA TIMUR
PADANGAN,BOJONEGORO,JAWA TIMUR
KASIMAN,BOJONEGORO,JAWA TIMUR
KEDEWAN,BOJONEGORO,JAWA TIMUR
KENDURUAN,TUBAN,JAWA TIMUR
BANGILAN,TUBAN,JAWA TIMUR
SENORI,TUBAN,JAWA TIMUR
SINGGAHAN,TUBAN,JAWA TIMUR
MONTONG,TUBAN,JAWA TIMUR
PARENGAN,TUBAN,JAWA TIMUR
SOKO,TUBAN,JAWA TIMUR
RENGEL,TUBAN,JAWA TIMUR
GRABAGAN,TUBAN,JAWA TIMUR
PLUMPANG,TUBAN,JAWA TIMUR
WIDANG,TUBAN,JAWA TIMUR
PALANG,TUBAN,JAWA TIMUR
SEMANDING,TUBAN,JAWA TIMUR
TUBAN,TUBAN,JAWA TIMUR
JENU,TUBAN,JAWA TIMUR
MERAKURAK,TUBAN,JAWA TIMUR
KEREK,TUBAN,JAWA TIMUR
TAMBAKBOYO,TUBAN,JAWA TIMUR
JATIROGO,TUBAN,JAWA TIMUR
BANCAR,TUBAN,JAWA TIMUR
SUKORAME,LAMONGAN,JAWA TIMUR
BLULUK,LAMONGAN,JAWA TIMUR
NGIMBANG,LAMONGAN,JAWA TIMUR
SAMBENG,LAMONGAN,JAWA TIMUR
MANTUP,LAMONGAN,JAWA TIMUR
KEMBANGBAHU,LAMONGAN,JAWA TIMUR
SUGIO,LAMONGAN,JAWA TIMUR
KEDUNGPRING,LAMONGAN,JAWA TIMUR
MODO,LAMONGAN,JAWA TIMUR
BABAT,LAMONGAN,JAWA TIMUR
PUCUK,LAMONGAN,JAWA TIMUR
SUKODADI,LAMONGAN,JAWA TIMUR
LAMONGAN,LAMONGAN,JAWA TIMUR
TIKUNG,LAMONGAN,JAWA TIMUR
SARIREJO,LAMONGAN,JAWA TIMUR
DEKET,LAMONGAN,JAWA TIMUR
GLAGAH,LAMONGAN,JAWA TIMUR
KARANGBINANGUN,LAMONGAN,JAWA TIMUR
TURI,LAMONGAN,JAWA TIMUR
KALITENGAH,LAMONGAN,JAWA TIMUR
KARANG GENENG,LAMONGAN,JAWA TIMUR
SEKARAN,LAMONGAN,JAWA TIMUR
MADURAN,LAMONGAN,JAWA TIMUR
LAREN,LAMONGAN,JAWA TIMUR
SOLOKURO,LAMONGAN,JAWA TIMUR
PACIRAN,LAMONGAN,JAWA TIMUR
BRONDONG,LAMONGAN,JAWA TIMUR
WRINGINANOM,GRESIK,JAWA TIMUR
DRIYOREJO,GRESIK,JAWA TIMUR
KEDAMEAN,GRESIK,JAWA TIMUR
MENGANTI,GRESIK,JAWA TIMUR
CERME,GRESIK,JAWA TIMUR
BENJENG,GRESIK,JAWA TIMUR
BALONGPANGGANG,GRESIK,JAWA TIMUR
DUDUKSAMPEYAN,GRESIK,JAWA TIMUR
KEBOMAS,GRESIK,JAWA TIMUR
GRESIK,GRESIK,JAWA TIMUR
MANYAR,GRESIK,JAWA TIMUR
BUNGAH,GRESIK,JAWA TIMUR
SIDAYU,GRESIK,JAWA TIMUR
DUKUN,GRESIK,JAWA TIMUR
PANCENG,GRESIK,JAWA TIMUR
UJUNGPANGKAH,GRESIK,JAWA TIMUR
SANGKAPURA,GRESIK,JAWA TIMUR
TAMBAK,GRESIK,JAWA TIMUR
KAMAL,BANGKALAN,JAWA TIMUR
LABANG,BANGKALAN,JAWA TIMUR
KWANYAR,BANGKALAN,JAWA TIMUR
MODUNG,BANGKALAN,JAWA TIMUR
BLEGA,BANGKALAN,JAWA TIMUR
KONANG,BANGKALAN,JAWA TIMUR
GALIS,BANGKALAN,JAWA TIMUR
TANAH MERAH,BANGKALAN,JAWA TIMUR
TRAGAH,BANGKALAN,JAWA TIMUR
SOCAH,BANGKALAN,JAWA TIMUR
BANGKALAN,BANGKALAN,JAWA TIMUR
BURNEH,BANGKALAN,JAWA TIMUR
AROSBAYA,BANGKALAN,JAWA TIMUR
GEGER,BANGKALAN,JAWA TIMUR
KOKOP,BANGKALAN,JAWA TIMUR
TANJUNGBUMI,BANGKALAN,JAWA TIMUR
SEPULU,BANGKALAN,JAWA TIMUR
KLAMPIS,BANGKALAN,JAWA TIMUR
SRESEH,SAMPANG,JAWA TIMUR
TORJUN,SAMPANG,JAWA TIMUR
PANGARENGAN,SAMPANG,JAWA TIMUR
SAMPANG,SAMPANG,JAWA TIMUR
CAMPLONG,SAMPANG,JAWA TIMUR
OMBEN,SAMPANG,JAWA TIMUR
KEDUNGDUNG,SAMPANG,JAWA TIMUR
JRENGIK,SAMPANG,JAWA TIMUR
TAMBELANGAN,SAMPANG,JAWA TIMUR
BANYUATES,SAMPANG,JAWA TIMUR
ROBATAL,SAMPANG,JAWA TIMUR
KARANG PENANG,SAMPANG,JAWA TIMUR
KETAPANG,SAMPANG,JAWA TIMUR
SOKOBANAH,SAMPANG,JAWA TIMUR
TLANAKAN,PAMEKASAN,JAWA TIMUR
PADEMAWU,PAMEKASAN,JAWA TIMUR
GALIS,PAMEKASAN,JAWA TIMUR
LARANGAN,PAMEKASAN,JAWA TIMUR
PAMEKASAN,PAMEKASAN,JAWA TIMUR
PROPPO,PAMEKASAN,JAWA TIMUR
PALENGAAN,PAMEKASAN,JAWA TIMUR
PEGANTENAN,PAMEKASAN,JAWA TIMUR
KADUR,PAMEKASAN,JAWA TIMUR
PAKONG,PAMEKASAN,JAWA TIMUR
WARU,PAMEKASAN,JAWA TIMUR
BATU MARMAR,PAMEKASAN,JAWA TIMUR
PASEAN,PAMEKASAN,JAWA TIMUR
PRAGAAN,SUMENEP,JAWA TIMUR
BLUTO,SUMENEP,JAWA TIMUR
SARONGGI,SUMENEP,JAWA TIMUR
GILIGENTENG,SUMENEP,JAWA TIMUR
TALANGO,SUMENEP,JAWA TIMUR
KALIANGET,SUMENEP,JAWA TIMUR
KOTA SUMENEP,SUMENEP,JAWA TIMUR
BATUAN,SUMENEP,JAWA TIMUR
LENTENG,SUMENEP,JAWA TIMUR
GANDING,SUMENEP,JAWA TIMUR
GULUK GULUK,SUMENEP,JAWA TIMUR
PASONGSONGAN,SUMENEP,JAWA TIMUR
AMBUNTEN,SUMENEP,JAWA TIMUR
RUBARU,SUMENEP,JAWA TIMUR
DASUK,SUMENEP,JAWA TIMUR
MANDING,SUMENEP,JAWA TIMUR
BATUPUTIH,SUMENEP,JAWA TIMUR
GAPURA,SUMENEP,JAWA TIMUR
BATANG BATANG,SUMENEP,JAWA TIMUR
DUNGKEK,SUMENEP,JAWA TIMUR
NONGGUNONG,SUMENEP,JAWA TIMUR
GAYAM,SUMENEP,JAWA TIMUR
RAAS,SUMENEP,JAWA TIMUR
SAPEKEN,SUMENEP,JAWA TIMUR
ARJASA,SUMENEP,JAWA TIMUR
KANGAYAN,SUMENEP,JAWA TIMUR
MASALEMBU,SUMENEP,JAWA TIMUR
MOJOROTO,KEDIRI,JAWA TIMUR
KOTA KEDIRI,KEDIRI,JAWA TIMUR
PESANTREN,KEDIRI,JAWA TIMUR
SUKOREJO,BLITAR,JAWA TIMUR
KEPANJENKIDUL,BLITAR,JAWA TIMUR
SANANWETAN,BLITAR,JAWA TIMUR
KEDUNGKANDANG,MALANG,JAWA TIMUR
SUKUN,MALANG,JAWA TIMUR
KLOJEN,MALANG,JAWA TIMUR
BLIMBING,MALANG,JAWA TIMUR
LOWOKWARU,MALANG,JAWA TIMUR
KADEMANGAN,PROBOLINGGO,JAWA TIMUR
KEDOPOK,PROBOLINGGO,JAWA TIMUR
WONOASIH,PROBOLINGGO,JAWA TIMUR
MAYANGAN,PROBOLINGGO,JAWA TIMUR
KANIGARAN,PROBOLINGGO,JAWA TIMUR
GADINGREJO,PASURUAN,JAWA TIMUR
PURWOREJO,PASURUAN,JAWA TIMUR
BUGULKIDUL,PASURUAN,JAWA TIMUR
PANGGUNGREJO,PASURUAN,JAWA TIMUR
PRAJURIT KULON,MOJOKERTO,JAWA TIMUR
MAGERSARI,MOJOKERTO,JAWA TIMUR
KRANGGAN,MOJOKERTO,JAWA TIMUR
MANGU HARJO,MADIUN,JAWA TIMUR
TAMAN,MADIUN,JAWA TIMUR
KARTOHARJO,MADIUN,JAWA TIMUR
KARANG PILANG,SURABAYA,JAWA TIMUR
JAMBANGAN,SURABAYA,JAWA TIMUR
GAYUNGAN,SURABAYA,JAWA TIMUR
WONOCOLO,SURABAYA,JAWA TIMUR
TENGGILIS MEJOYO,SURABAYA,JAWA TIMUR
GUNUNG ANYAR,SURABAYA,JAWA TIMUR
RUNGKUT,SURABAYA,JAWA TIMUR
SUKOLILO,SURABAYA,JAWA TIMUR
MULYOREJO,SURABAYA,JAWA TIMUR
GUBENG,SURABAYA,JAWA TIMUR
WONOKROMO,SURABAYA,JAWA TIMUR
DUKUH PAKIS,SURABAYA,JAWA TIMUR
WIYUNG,SURABAYA,JAWA TIMUR
LAKARSANTRI,SURABAYA,JAWA TIMUR
SAMBIKEREP,SURABAYA,JAWA TIMUR
TANDES,SURABAYA,JAWA TIMUR
SUKO MANUNGGAL,SURABAYA,JAWA TIMUR
SAWAHAN,SURABAYA,JAWA TIMUR
TEGALSARI,SURABAYA,JAWA TIMUR
GENTENG,SURABAYA,JAWA TIMUR
TAMBAKSARI,SURABAYA,JAWA TIMUR
KENJERAN,SURABAYA,JAWA TIMUR
BULAK,SURABAYA,JAWA TIMUR
SIMOKERTO,SURABAYA,JAWA TIMUR
SEMAMPIR,SURABAYA,JAWA TIMUR
PABEAN CANTIAN,SURABAYA,JAWA TIMUR
BUBUTAN,SURABAYA,JAWA TIMUR
KREMBANGAN,SURABAYA,JAWA TIMUR
ASEMROWO,SURABAYA,JAWA TIMUR
BENOWO,SURABAYA,JAWA TIMUR
PAKAL,SURABAYA,JAWA TIMUR
BATU,BATU,JAWA TIMUR
JUNREJO,BATU,JAWA TIMUR
BUMIAJI,BATU,JAWA TIMUR
SUMUR,PANDEGLANG,BANTEN
CIMANGGU,PANDEGLANG,BANTEN
CIBALIUNG,PANDEGLANG,BANTEN
CIBITUNG,PANDEGLANG,BANTEN
CIKEUSIK,PANDEGLANG,BANTEN
CIGEULIS,PANDEGLANG,BANTEN
PANIMBANG,PANDEGLANG,BANTEN
SOBANG,PANDEGLANG,BANTEN
MUNJUL,PANDEGLANG,BANTEN
ANGSANA,PANDEGLANG,BANTEN
SINDANGRESMI,PANDEGLANG,BANTEN
PICUNG,PANDEGLANG,BANTEN
BOJONG,PANDEGLANG,BANTEN
SAKETI,PANDEGLANG,BANTEN
CISATA,PANDEGLANG,BANTEN
PAGELARAN,PANDEGLANG,BANTEN
PATIA,PANDEGLANG,BANTEN
SUKARESMI,PANDEGLANG,BANTEN
LABUAN,PANDEGLANG,BANTEN
CARITA,PANDEGLANG,BANTEN
JIPUT,PANDEGLANG,BANTEN
CIKEDAL,PANDEGLANG,BANTEN
MENES,PANDEGLANG,BANTEN
PULOSARI,PANDEGLANG,BANTEN
MANDALAWANGI,PANDEGLANG,BANTEN
CIMANUK,PANDEGLANG,BANTEN
CIPEUCANG,PANDEGLANG,BANTEN
BANJAR,PANDEGLANG,BANTEN
KADUHEJO,PANDEGLANG,BANTEN
MEKARJAYA,PANDEGLANG,BANTEN
PANDEGLANG,PANDEGLANG,BANTEN
MAJASARI,PANDEGLANG,BANTEN
CADASARI,PANDEGLANG,BANTEN
KARANGTANJUNG,PANDEGLANG,BANTEN
KORONCONG,PANDEGLANG,BANTEN
MALINGPING,LEBAK,BANTEN
WANASALAM,LEBAK,BANTEN
PANGGARANGAN,LEBAK,BANTEN
CIHARA,LEBAK,BANTEN
BAYAH,LEBAK,BANTEN
CILOGRANG,LEBAK,BANTEN
CIBEBER,LEBAK,BANTEN
CIJAKU,LEBAK,BANTEN
CIGEMBLONG,LEBAK,BANTEN
BANJARSARI,LEBAK,BANTEN
CILELES,LEBAK,BANTEN
GUNUNG KENCANA,LEBAK,BANTEN
BOJONGMANIK,LEBAK,BANTEN
CIRINTEN,LEBAK,BANTEN
LEUWIDAMAR,LEBAK,BANTEN
MUNCANG,LEBAK,BANTEN
SOBANG,LEBAK,BANTEN
CIPANAS,LEBAK,BANTEN
LEBAKGEDONG,LEBAK,BANTEN
SAJIRA,LEBAK,BANTEN
CIMARGA,LEBAK,BANTEN
CIKULUR,LEBAK,BANTEN
WARUNGGUNUNG,LEBAK,BANTEN
CIBADAK,LEBAK,BANTEN
RANGKASBITUNG,LEBAK,BANTEN
KALANGANYAR,LEBAK,BANTEN
MAJA,LEBAK,BANTEN
CURUGBITUNG,LEBAK,BANTEN
CISOKA,TANGERANG,BANTEN
SOLEAR,TANGERANG,BANTEN
TIGARAKSA,TANGERANG,BANTEN
JAMBE,TANGERANG,BANTEN
CIKUPA,TANGERANG,BANTEN
PANONGAN,TANGERANG,BANTEN
CURUG,TANGERANG,BANTEN
KELAPA DUA,TANGERANG,BANTEN
LEGOK,TANGERANG,BANTEN
PAGEDANGAN,TANGERANG,BANTEN
CISAUK,TANGERANG,BANTEN
PASARKEMIS,TANGERANG,BANTEN
SINDANG JAYA,TANGERANG,BANTEN
BALARAJA,TANGERANG,BANTEN
JAYANTI,TANGERANG,BANTEN
SUKAMULYA,TANGERANG,BANTEN
KRESEK,TANGERANG,BANTEN
GUNUNG KALER,TANGERANG,BANTEN
KRONJO,TANGERANG,BANTEN
MEKAR BARU,TANGERANG,BANTEN
MAUK,TANGERANG,BANTEN
KEMIRI,TANGERANG,BANTEN
SUKADIRI,TANGERANG,BANTEN
RAJEG,TANGERANG,BANTEN
SEPATAN,TANGERANG,BANTEN
SEPATAN TIMUR,TANGERANG,BANTEN
PAKUHAJI,TANGERANG,BANTEN
TELUKNAGA,TANGERANG,BANTEN
KOSAMBI,TANGERANG,BANTEN
CINANGKA,SERANG,BANTEN
PADARINCANG,SERANG,BANTEN
CIOMAS,SERANG,BANTEN
PABUARAN,SERANG,BANTEN
GUNUNG SARI,SERANG,BANTEN
BAROS,SERANG,BANTEN
PETIR,SERANG,BANTEN
TUNJUNG TEJA,SERANG,BANTEN
CIKEUSAL,SERANG,BANTEN
PAMARAYAN,SERANG,BANTEN
BANDUNG,SERANG,BANTEN
JAWILAN,SERANG,BANTEN
KOPO,SERANG,BANTEN
CIKANDE,SERANG,BANTEN
KIBIN,SERANG,BANTEN
KRAGILAN,SERANG,BANTEN
WARINGINKURUNG,SERANG,BANTEN
MANCAK,SERANG,BANTEN
ANYAR,SERANG,BANTEN
BOJONEGARA,SERANG,BANTEN
PULO AMPEL,SERANG,BANTEN
KRAMATWATU,SERANG,BANTEN
CIRUAS,SERANG,BANTEN
PONTANG,SERANG,BANTEN
LEBAK WANGI,SERANG,BANTEN
CARENANG,SERANG,BANTEN
BINUANG,SERANG,BANTEN
TIRTAYASA,SERANG,BANTEN
TANARA,SERANG,BANTEN
CILEDUG,TANGERANG,BANTEN
LARANGAN,TANGERANG,BANTEN
KARANG TENGAH,TANGERANG,BANTEN
CIPONDOH,TANGERANG,BANTEN
PINANG,TANGERANG,BANTEN
TANGERANG,TANGERANG,BANTEN
KARAWACI,TANGERANG,BANTEN
JATI UWUNG,TANGERANG,BANTEN
CIBODAS,TANGERANG,BANTEN
PERIUK,TANGERANG,BANTEN
BATUCEPER,TANGERANG,BANTEN
NEGLASARI,TANGERANG,BANTEN
BENDA,TANGERANG,BANTEN
CIWANDAN,CILEGON,BANTEN
CITANGKIL,CILEGON,BANTEN
PULOMERAK,CILEGON,BANTEN
PURWAKARTA,CILEGON,BANTEN
GROGOL,CILEGON,BANTEN
CILEGON,CILEGON,BANTEN
JOMBANG,CILEGON,BANTEN
CIBEBER,CILEGON,BANTEN
CURUG,SERANG,BANTEN
WALANTAKA,SERANG,BANTEN
CIPOCOK JAYA,SERANG,BANTEN
SERANG,SERANG,BANTEN
TAKTAKAN,SERANG,BANTEN
KASEMEN,SERANG,BANTEN
SETU,TANGERANG SELATAN,BANTEN
SERPONG,TANGERANG SELATAN,BANTEN
PAMULANG,TANGERANG SELATAN,BANTEN
CIPUTAT,TANGERANG SELATAN,BANTEN
CIPUTAT TIMUR,TANGERANG SELATAN,BANTEN
PONDOK AREN,TANGERANG SELATAN,BANTEN
SERPONG UTARA,TANGERANG SELATAN,BANTEN
MELAYA,JEMBRANA,BALI
NEGARA,JEMBRANA,BALI
JEMBRANA,JEMBRANA,BALI
MENDOYO,JEMBRANA,BALI
PEKUTATAN,JEMBRANA,BALI
SELEMADEG,TABANAN,BALI
SELEMADEG TIMUR,TABANAN,BALI
SELEMADEG BARAT,TABANAN,BALI
KERAMBITAN,TABANAN,BALI
TABANAN,TABANAN,BALI
KEDIRI,TABANAN,BALI
MARGA,TABANAN,BALI
BATURITI,TABANAN,BALI
PENEBEL,TABANAN,BALI
PUPUAN,TABANAN,BALI
KUTA SELATAN,BADUNG,BALI
KUTA,BADUNG,BALI
KUTA UTARA,BADUNG,BALI
MENGWI,BADUNG,BALI
ABIANSEMAL,BADUNG,BALI
PETANG,BADUNG,BALI
SUKAWATI,GIANYAR,BALI
BLAHBATUH,GIANYAR,BALI
GIANYAR,GIANYAR,BALI
TAMPAKSIRING,GIANYAR,BALI
UBUD,GIANYAR,BALI
TEGALLALANG,GIANYAR,BALI
PAYANGAN,GIANYAR,BALI
NUSAPENIDA,KLUNGKUNG,BALI
BANJARANGKAN,KLUNGKUNG,BALI
KLUNGKUNG,KLUNGKUNG,BALI
DAWAN,KLUNGKUNG,BALI
SUSUT,BANGLI,BALI
BANGLI,BANGLI,BALI
TEMBUKU,BANGLI,BALI
KINTAMANI,BANGLI,BALI
RENDANG,KARANG ASEM,BALI
SIDEMEN,KARANG ASEM,BALI
MANGGIS,KARANG ASEM,BALI
KARANGASEM,KARANG ASEM,BALI
ABANG,KARANG ASEM,BALI
BEBANDEM,KARANG ASEM,BALI
SELAT,KARANG ASEM,BALI
KUBU,KARANG ASEM,BALI
GEROKGAK,BULELENG,BALI
SERIRIT,BULELENG,BALI
BUSUNGBIU,BULELENG,BALI
BANJAR,BULELENG,BALI
SUKASADA,BULELENG,BALI
BULELENG,BULELENG,BALI
SAWAN,BULELENG,BALI
KUBUTAMBAHAN,BULELENG,BALI
TEJAKULA,BULELENG,BALI
DENPASAR SELATAN,DENPASAR,BALI
DENPASAR TIMUR,DENPASAR,BALI
DENPASAR BARAT,DENPASAR,BALI
DENPASAR UTARA,DENPASAR,BALI
SEKOTONG,LOMBOK,NUSA TENGGARA BARAT
SEKOTONG,LOMBOK BARAT,NUSA TENGGARA BARAT
LEMBAR,LOMBOK BARAT,NUSA TENGGARA BARAT
GERUNG,LOMBOK BARAT,NUSA TENGGARA BARAT
LABU API,LOMBOK BARAT,NUSA TENGGARA BARAT
KEDIRI,LOMBOK BARAT,NUSA TENGGARA BARAT
KURIPAN,LOMBOK BARAT,NUSA TENGGARA BARAT
NARMADA,LOMBOK BARAT,NUSA TENGGARA BARAT
LINGSAR,LOMBOK BARAT,NUSA TENGGARA BARAT
GUNUNG SARI,LOMBOK BARAT,NUSA TENGGARA BARAT
BATU LAYAR,LOMBOK BARAT,NUSA TENGGARA BARAT
PRAYA BARAT,LOMBOK TENGAH,NUSA TENGGARA BARAT
PRAYA BARAT DAYA,LOMBOK TENGAH,NUSA TENGGARA BARAT
PUJUT,LOMBOK TENGAH,NUSA TENGGARA BARAT
PRAYA TIMUR,LOMBOK TENGAH,NUSA TENGGARA BARAT
JANAPRIA,LOMBOK TENGAH,NUSA TENGGARA BARAT
KOPANG,LOMBOK TENGAH,NUSA TENGGARA BARAT
PRAYA,LOMBOK TENGAH,NUSA TENGGARA BARAT
PRAYA TENGAH,LOMBOK TENGAH,NUSA TENGGARA BARAT
JONGGAT,LOMBOK TENGAH,NUSA TENGGARA BARAT
PRINGGARATA,LOMBOK TENGAH,NUSA TENGGARA BARAT
BATUKLIANG,LOMBOK TENGAH,NUSA TENGGARA BARAT
BATUKLIANG UTARA,LOMBOK TENGAH,NUSA TENGGARA BARAT
KERUAK,LOMBOK TIMUR,NUSA TENGGARA BARAT
JEROWARU,LOMBOK TIMUR,NUSA TENGGARA BARAT
SAKRA,LOMBOK TIMUR,NUSA TENGGARA BARAT
SAKRA BARAT,LOMBOK TIMUR,NUSA TENGGARA BARAT
SAKRA TIMUR,LOMBOK TIMUR,NUSA TENGGARA BARAT
TERARA,LOMBOK TIMUR,NUSA TENGGARA BARAT
MONTONG GADING,LOMBOK TIMUR,NUSA TENGGARA BARAT
SIKUR,LOMBOK TIMUR,NUSA TENGGARA BARAT
MASBAGIK,LOMBOK TIMUR,NUSA TENGGARA BARAT
PRINGGASELA,LOMBOK TIMUR,NUSA TENGGARA BARAT
SUKAMULIA,LOMBOK TIMUR,NUSA TENGGARA BARAT
SURALAGA,LOMBOK TIMUR,NUSA TENGGARA BARAT
SELONG,LOMBOK TIMUR,NUSA TENGGARA BARAT
LABUHAN HAJI,LOMBOK TIMUR,NUSA TENGGARA BARAT
PRINGGABAYA,LOMBOK TIMUR,NUSA TENGGARA BARAT
SUELA,LOMBOK TIMUR,NUSA TENGGARA BARAT
AIKMEL,LOMBOK TIMUR,NUSA TENGGARA BARAT
WANASABA,LOMBOK TIMUR,NUSA TENGGARA BARAT
SEMBALUN,LOMBOK TIMUR,NUSA TENGGARA BARAT
SAMBELIA,LOMBOK TIMUR,NUSA TENGGARA BARAT
LUNYUK,SUMBAWA,NUSA TENGGARA BARAT
ORONG TELU,SUMBAWA,NUSA TENGGARA BARAT
ALAS,SUMBAWA,NUSA TENGGARA BARAT
ALAS BARAT,SUMBAWA,NUSA TENGGARA BARAT
BUER,SUMBAWA,NUSA TENGGARA BARAT
UTAN,SUMBAWA,NUSA TENGGARA BARAT
RHEE,SUMBAWA,NUSA TENGGARA BARAT
BATULANTEH,SUMBAWA,NUSA TENGGARA BARAT
SUMBAWA,SUMBAWA,NUSA TENGGARA BARAT
LABUHAN BADAS,SUMBAWA,NUSA TENGGARA BARAT
UNTER IWES,SUMBAWA,NUSA TENGGARA BARAT
MOYOHILIR,SUMBAWA,NUSA TENGGARA BARAT
MOYO UTARA,SUMBAWA,NUSA TENGGARA BARAT
MOYOHULU,SUMBAWA,NUSA TENGGARA BARAT
ROPANG,SUMBAWA,NUSA TENGGARA BARAT
LENANGGUAR,SUMBAWA,NUSA TENGGARA BARAT
LANTUNG,SUMBAWA,NUSA TENGGARA BARAT
LAPE,SUMBAWA,NUSA TENGGARA BARAT
LOPOK,SUMBAWA,NUSA TENGGARA BARAT
PLAMPANG,SUMBAWA,NUSA TENGGARA BARAT
LABANGKA,SUMBAWA,NUSA TENGGARA BARAT
MARONGE,SUMBAWA,NUSA TENGGARA BARAT
EMPANG,SUMBAWA,NUSA TENGGARA BARAT
TARANO,SUMBAWA,NUSA TENGGARA BARAT
HU'U,DOMPU,NUSA TENGGARA BARAT
PAJO,DOMPU,NUSA TENGGARA BARAT
DOMPU,DOMPU,NUSA TENGGARA BARAT
WOJA,DOMPU,NUSA TENGGARA BARAT
KILO,DOMPU,NUSA TENGGARA BARAT
KEMPO,DOMPU,NUSA TENGGARA BARAT
MANGGALEWA,DOMPU,NUSA TENGGARA BARAT
PEKAT,DOMPU,NUSA TENGGARA BARAT
MONTA,BIMA,NUSA TENGGARA BARAT
PARADO,BIMA,NUSA TENGGARA BARAT
BOLO,BIMA,NUSA TENGGARA BARAT
MADA PANGGA,BIMA,NUSA TENGGARA BARAT
WOHA,BIMA,NUSA TENGGARA BARAT
BELO,BIMA,NUSA TENGGARA BARAT
PALIBELO,BIMA,NUSA TENGGARA BARAT
WAWO,BIMA,NUSA TENGGARA BARAT
LANGGUDU,BIMA,NUSA TENGGARA BARAT
LAMBITU,BIMA,NUSA TENGGARA BARAT
SAPE,BIMA,NUSA TENGGARA BARAT
LAMBU,BIMA,NUSA TENGGARA BARAT
WERA,BIMA,NUSA TENGGARA BARAT
AMBALAWI,BIMA,NUSA TENGGARA BARAT
DONGGO,BIMA,NUSA TENGGARA BARAT
SOROMANDI,BIMA,NUSA TENGGARA BARAT
SANGGAR,BIMA,NUSA TENGGARA BARAT
TAMBORA,BIMA,NUSA TENGGARA BARAT
SEKONGKANG,SUMBAWA BARAT,NUSA TENGGARA BARAT
JEREWEH,SUMBAWA BARAT,NUSA TENGGARA BARAT
MALUK,SUMBAWA BARAT,NUSA TENGGARA BARAT
TALIWANG,SUMBAWA BARAT,NUSA TENGGARA BARAT
BRANG ENE,SUMBAWA BARAT,NUSA TENGGARA BARAT
BRANG REA,SUMBAWA BARAT,NUSA TENGGARA BARAT
SETELUK,SUMBAWA BARAT,NUSA TENGGARA BARAT
POTO TANO,SUMBAWA BARAT,NUSA TENGGARA BARAT
PEMENANG,LOMBOK UTARA,NUSA TENGGARA BARAT
TANJUNG,LOMBOK UTARA,NUSA TENGGARA BARAT
GANGGA,LOMBOK UTARA,NUSA TENGGARA BARAT
KAYANGAN,LOMBOK UTARA,NUSA TENGGARA BARAT
BAYAN,LOMBOK UTARA,NUSA TENGGARA BARAT
AMPENAN,MATARAM,NUSA TENGGARA BARAT
SEKARBELA,MATARAM,NUSA TENGGARA BARAT
MATARAM,MATARAM,NUSA TENGGARA BARAT
SELAPARANG,MATARAM,NUSA TENGGARA BARAT
CAKRANEGARA,MATARAM,NUSA TENGGARA BARAT
SANDUBAYA,MATARAM,NUSA TENGGARA BARAT
RASANAE BARAT,BIMA,NUSA TENGGARA BARAT
